ano,mes,data,regiao,uf,cidade,cargo,senioridade,tecnologia,modalidade,salario_medio,quantidade_vagas,empresa_setor,nivel_demanda
2015,1,2015-01-01,Norte,AM,Manaus,Cientista de Dados,Sênior,Java,Presencial,7919.27,40,Fintech,Baixo
2015,1,2015-01-01,Norte,PA,Belém,Cientista de Dados,Pleno,AWS,Presencial,9477.26,37,Varejo,Alto
2015,1,2015-01-01,Norte,PA,Santarém,Cientista de Dados,Sênior,Java,Híbrido,17314.96,45,Governo,Crítico
2015,1,2015-01-01,Norte,RO,Porto Velho,Analista de Dados,Sênior,Java,Remoto,9215.33,43,Saúde,Médio
2015,1,2015-01-01,Norte,TO,Palmas,Dev Backend,Pleno,SQL,Remoto,8810.91,44,Saúde,Alto
2015,1,2015-01-01,Nordeste,BA,Salvador,Cientista de Dados,Júnior,JavaScript,Híbrido,5835.72,46,Governo,Alto
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,Dev Backend,Sênior,Python,Remoto,16264.77,42,Governo,Baixo
2015,1,2015-01-01,Nordeste,PE,Recife,DevOps,Pleno,AWS,Presencial,8972.84,29,Fintech,Crítico
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,Dev Backend,Sênior,JavaScript,Híbrido,16662.9,37,Varejo,Alto
2015,1,2015-01-01,Nordeste,CE,Fortaleza,Cientista de Dados,Pleno,AWS,Híbrido,8924.21,39,Saúde,Crítico
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,Dev Frontend,Pleno,AWS,Híbrido,8941.37,37,Fintech,Crítico
2015,1,2015-01-01,Nordeste,MA,São Luís,Analista de Dados,Júnior,SQL,Híbrido,8845.83,47,Educação,Alto
2015,1,2015-01-01,Nordeste,PB,João Pessoa,Cientista de Dados,Júnior,Power BI,Presencial,5426.25,45,Varejo,Crítico
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,Analista de Dados,Pleno,Python,Presencial,8985.41,31,Fintech,Baixo
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,Cientista de Dados,Sênior,Power BI,Presencial,17410.86,32,Fintech,Crítico
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,DevOps,Sênior,SQL,Híbrido,3773.9,40,Fintech,Médio
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,Dev Backend,Júnior,Power BI,Presencial,3041.18,44,Educação,Alto
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,Cientista de Dados,Júnior,Java,Remoto,16267.82,38,Governo,Alto
2015,1,2015-01-01,Sudeste,SP,São Paulo,Dev Frontend,Pleno,AWS,Remoto,3992.85,45,Governo,Alto
2015,1,2015-01-01,Sudeste,SP,Campinas,Dev Frontend,Júnior,AWS,Presencial,7204.32,62,Saúde,Médio
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,Dev Frontend,Júnior,Python,Híbrido,14703.28,48,Governo,Crítico
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,Cientista de Dados,Sênior,JavaScript,Remoto,9562.51,46,Varejo,Baixo
2015,1,2015-01-01,Sudeste,RJ,Niterói,Dev Frontend,Pleno,Java,Híbrido,7612.33,36,Governo,Baixo
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,DevOps,Sênior,AWS,Híbrido,10565.74,42,Governo,Médio
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,DevOps,Sênior,SQL,Híbrido,6713.04,30,Saúde,Crítico
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,Dev Backend,Sênior,JavaScript,Híbrido,12303.6,40,Educação,Crítico
2015,1,2015-01-01,Sudeste,MG,Uberlândia,Dev Frontend,Sênior,AWS,Presencial,12778.43,40,Fintech,Alto
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,Cientista de Dados,Pleno,Java,Remoto,9777.66,35,Governo,Médio
2015,1,2015-01-01,Sudeste,ES,Vitória,Cientista de Dados,Júnior,Power BI,Remoto,3999.52,44,Educação,Baixo
2015,1,2015-01-01,Sudeste,ES,Vila Velha,Dev Backend,Sênior,Java,Remoto,7006.51,32,Saúde,Alto
2015,1,2015-01-01,Sudeste,ES,Serra,Analista de Dados,Júnior,AWS,Híbrido,16952.26,34,Educação,Alto
2015,1,2015-01-01,Sul,PR,Curitiba,DevOps,Pleno,Java,Presencial,11268.97,27,Educação,Alto
2015,1,2015-01-01,Sul,PR,Londrina,Dev Backend,Júnior,Java,Híbrido,16139.47,33,Fintech,Alto
2015,1,2015-01-01,Sul,SC,Florianópolis,Analista de Dados,Sênior,Java,Híbrido,11853.94,39,Saúde,Alto
2015,1,2015-01-01,Sul,SC,Joinville,Cientista de Dados,Júnior,AWS,Remoto,5677.5,43,Fintech,Alto
2015,1,2015-01-01,Sul,RS,Porto Alegre,Cientista de Dados,Júnior,JavaScript,Híbrido,4690.73,36,Varejo,Crítico
2015,1,2015-01-01,Sul,RS,Caxias do Sul,Dev Frontend,Pleno,Power BI,Híbrido,7474.41,37,Saúde,Alto
2015,2,2015-02-01,Norte,AM,Manaus,Analista de Dados,Sênior,AWS,Remoto,16736.93,31,Varejo,Crítico
2015,2,2015-02-01,Norte,PA,Belém,Dev Frontend,Pleno,SQL,Presencial,5911.31,38,Saúde,Baixo
2015,2,2015-02-01,Norte,PA,Santarém,Analista de Dados,Júnior,Power BI,Híbrido,6515.33,42,Fintech,Médio
2015,2,2015-02-01,Norte,RO,Porto Velho,Analista de Dados,Sênior,Python,Presencial,6945.39,42,Educação,Baixo
2015,2,2015-02-01,Norte,TO,Palmas,Dev Backend,Pleno,AWS,Híbrido,11876.91,35,Educação,Médio
2015,2,2015-02-01,Nordeste,BA,Salvador,Cientista de Dados,Pleno,Power BI,Presencial,13928.65,36,Governo,Crítico
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,Dev Frontend,Sênior,JavaScript,Presencial,12198.79,45,Fintech,Crítico
2015,2,2015-02-01,Nordeste,PE,Recife,Dev Frontend,Pleno,Python,Remoto,7712.66,41,Saúde,Alto
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,Dev Backend,Júnior,SQL,Híbrido,16176.67,32,Fintech,Médio
2015,2,2015-02-01,Nordeste,CE,Fortaleza,Analista de Dados,Pleno,Python,Remoto,5852.79,40,Educação,Crítico
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,Dev Backend,Sênior,Power BI,Híbrido,9433.87,38,Fintech,Médio
2015,2,2015-02-01,Nordeste,MA,São Luís,Analista de Dados,Júnior,Python,Remoto,7560.14,48,Varejo,Baixo
2015,2,2015-02-01,Nordeste,PB,João Pessoa,DevOps,Pleno,Python,Presencial,5779.74,36,Governo,Crítico
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,Cientista de Dados,Pleno,Python,Remoto,11036.01,44,Varejo,Alto
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,Dev Frontend,Júnior,Power BI,Remoto,16628.44,43,Fintech,Crítico
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,DevOps,Sênior,Python,Híbrido,15590.93,33,Saúde,Crítico
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,Analista de Dados,Sênior,Java,Presencial,11729.48,28,Educação,Baixo
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,Analista de Dados,Júnior,Power BI,Remoto,11689.4,44,Governo,Crítico
2015,2,2015-02-01,Sudeste,SP,São Paulo,Dev Frontend,Júnior,Power BI,Remoto,8963.04,42,Fintech,Médio
2015,2,2015-02-01,Sudeste,SP,Campinas,Dev Backend,Pleno,Python,Presencial,17071.86,45,Educação,Médio
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,Cientista de Dados,Pleno,Power BI,Remoto,10315.52,44,Fintech,Baixo
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,Dev Backend,Pleno,Power BI,Presencial,13193.61,40,Fintech,Alto
2015,2,2015-02-01,Sudeste,RJ,Niterói,Analista de Dados,Sênior,Python,Presencial,16468.43,33,Governo,Baixo
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,Cientista de Dados,Sênior,AWS,Remoto,7146.5,40,Varejo,Médio
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,Analista de Dados,Pleno,Python,Presencial,8809.21,39,Varejo,Alto
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,Dev Backend,Júnior,AWS,Remoto,13225.19,42,Fintech,Médio
2015,2,2015-02-01,Sudeste,MG,Uberlândia,Cientista de Dados,Pleno,Python,Híbrido,6119.82,40,Varejo,Baixo
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,DevOps,Pleno,AWS,Híbrido,12501.79,34,Fintech,Crítico
2015,2,2015-02-01,Sudeste,ES,Vitória,DevOps,Pleno,Python,Remoto,3358.35,38,Governo,Baixo
2015,2,2015-02-01,Sudeste,ES,Vila Velha,Cientista de Dados,Pleno,JavaScript,Remoto,3437.05,39,Educação,Crítico
2015,2,2015-02-01,Sudeste,ES,Serra,Dev Backend,Pleno,AWS,Híbrido,5405.11,41,Fintech,Médio
2015,2,2015-02-01,Sul,PR,Curitiba,Cientista de Dados,Sênior,Python,Presencial,13975.25,34,Saúde,Alto
2015,2,2015-02-01,Sul,PR,Londrina,Dev Frontend,Júnior,SQL,Presencial,6188.28,42,Educação,Baixo
2015,2,2015-02-01,Sul,SC,Florianópolis,Analista de Dados,Júnior,SQL,Remoto,16370.63,43,Saúde,Médio
2015,2,2015-02-01,Sul,SC,Joinville,Dev Backend,Júnior,SQL,Presencial,6007.43,41,Varejo,Alto
2015,2,2015-02-01,Sul,RS,Porto Alegre,Dev Backend,Júnior,Java,Remoto,4983.77,45,Educação,Médio
2015,2,2015-02-01,Sul,RS,Caxias do Sul,Dev Frontend,Sênior,Power BI,Híbrido,15931.37,46,Educação,Alto
2015,3,2015-03-01,Norte,AM,Manaus,Analista de Dados,Sênior,Java,Remoto,3955.74,48,Educação,Alto
2015,3,2015-03-01,Norte,PA,Belém,Dev Backend,Sênior,Python,Presencial,6641.27,49,Fintech,Médio
2015,3,2015-03-01,Norte,PA,Santarém,Dev Backend,Júnior,JavaScript,Presencial,12472.02,46,Fintech,Médio
2015,3,2015-03-01,Norte,RO,Porto Velho,Dev Frontend,Sênior,Power BI,Híbrido,17892.87,44,Varejo,Médio
